2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_03_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_04_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_05_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_06_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_07_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_08_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_09_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_10_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 17:31:25,578 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_01_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_02_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_03_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 17:31:25,579 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_01.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_02.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_03.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_04.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_05.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_06.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_07.wav
2024-02-12 17:31:25,580 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_08.wav
2024-02-12 17:31:25,581 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_09.wav
2024-02-12 17:31:25,581 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_01_L.wav
2024-02-12 17:31:25,581 - root - INFO - get_person 		 - SUCCESS for: 07_M_A_01_L.wav
2024-02-12 17:31:25,581 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_01_L.wav
